FIPSST,NAMEPCAP,Number of Records,PSTATABB,STBMPR,STC2ERTA,STCCO2RT,STCCO2R,STCH4AN,STCH4CRT,STCH4RTA,STCLPR,STCNOXRT,STCNOXR,STCNPR,STCNXORT,STCNXOR,STCO2AN,STCO2CRT,STCO2EQA,STCO2RA,STCO2RTA,STCSO2RT,STCSO2R,STCYPR,STFSC2RT,STFSC2R,STFSNORT,STFSNOR,STFSNXRT,STFSNXR,STFSS2RT,STFSS2R,STGCO2RT,STGCO2R,STGENABM,STGENACL,STGENACN,STGENACY,STGENAGS,STGENAGT,STGENAHY,STGENANC,STGENAOF,STGENAOL,STGENAOP,STGENASO,STGENATH,STGENATN,STGENATR,STGENAWI,STGNOXRT,STGNOXR,STGNXORT,STGNXOR,STGSO2RT,STGSO2R,STGSPR,STGTPR,STHTIANT,STHTIAN,STHTIOZT,STHTIOZ,STHYPR,STN2OAN,STN2OCRT,STN2ORTA,STNBCH4,STNBCO2,STNBN2O,STNBNOX,STNBNXO,STNBSO2,STNCPR,STNGENAN,STNGENOZ,STNOXAN,STNOXCRO,STNOXCRT,STNOXOZ,STNOXRA,STNOXRO,STNOXRTA,STNOXRTO,STOCO2RT,STOCO2R,STOFPR,STOLPR,STONOXRT,STONOXR,STONXORT,STONXOR,STOPPR,STOSO2RT,STOSO2R,STSO2AN,STSO2CRT,STSO2RA,STSO2RTA,STSOPR,STTHPR,STTNPR,STTRPR,STWIPR
2,3183.6,1,AK,1.034081176,878.096,2523.732,212.886,268515.438,61.665,44.418,9.235384756,1.331,0.112,27.967826455,1.399,0.124,2644805.351,1214.76,2654106.334,138.934,875.018,3.92,0.331,72.032173545,1228.914,140.951,5.067,0.459,5.115,0.587,0.973,0.112,880.12,116.905,62511.682,558292.181,1690695,4354447.631,3288022.316,0,1538738,0,0,445621.452,0,0,214468.682,4291935.949,1753206.682,151957,2.645,0.351,2.807,0.27,0.008,0.001,54.391145366,0,54140994.2,38072938.514,24706924.632,18277084.001,25.454122325,41816.591,9.603,6.917,113.849,1241.396,18.851,6.16,6.087,1.046,0,6045142.31,2332695.111,11021.02,4.927,5.062,4139.188,0.579,0.453,3.646,3.549,2133.904,159.433,0,7.371562248,27.463,2.052,28.114,1.771,0,4.263,0.319,2104.742,0.967,0.111,0.696,0,3.547785306,70.998092369,29.001907631,2.513704130
1,38310.8,1,AL,1.813656718,1059.678,2182.673,198.624,13209153.544,134.052,88.505,31.684983770,1.708,0.155,33.977357219,1.563,0.14,78643036.919,1596.205,79077486,169.46,1053.856,4.257,0.387,66.022642781,1626.479,171.974,0.957,0.099,1.032,0.109,2.478,0.262,864.354,117.448,2706848.241,47289237.12,50710561,98537541.707,48262938.443,0,9466872,41243689,180543.982,97973.921,0,0,2706848.241,137074382.466,12173720.241,0,0.106,0.014,0.103,0.014,0.041,0.006,32.337388260,0,1449562725.374,928160456.37,644376966.657,434957948.644,6.343043448,1922314.433,19.508,12.88,258.386,1614.635,37.468,1.297,1.219,3.876,27.634313771,149248102.877,65358561.141,50854.734,1.005,1.032,21688.81,0.11,0.1,0.681,0.664,1571.669,163.325,0.120969030,0.065645003,29.406,3.056,29.421,3.052,0,2.785,0.289,120922.146,2.454,0.261,1.62,0,1.813656718,91.843299834,8.156700166,0
5,19443.7,1,AR,2.484435077,1292.944,2126.045,209.739,8476456.817,190.881,137.622,53.936681873,2.25,0.222,27.901459390,2.394,0.234,39535585.29,1780.6,39817584.671,189.677,1283.787,4.57,0.451,72.098540610,1852.58,194.249,1.894,0.198,1.803,0.189,3.568,0.374,880.036,118.841,1530216.648,33220754.814,17185105,44407031.669,9613708.033,0,2706846,14478259,13078.409,29273.765,0,0,1530216.648,57355074.021,4237062.648,0,0.212,0.029,0.271,0.036,0.005,0.001,15.608661353,0,593470320.98,416873788.98,255790286.06,187421269.061,4.394791521,1245139.275,28.039,20.216,232.939,1382.65,34.077,1.127,1.202,2.098,23.506667869,61592136.606,26538281.37,39444.419,1.94,1.776,18555.298,0.189,0.198,1.281,1.398,,,0.021233894,0.047528413,,,,,0,,,77729.002,3.501,0.373,2.524,0,2.484435077,93.120773402,6.879226598,0
4,39165.9,1,AZ,0.205687910,1117.726,2237.294,205.465,11309164.667,161.261,103.964,38.032221749,2.17,0.199,37.485518475,2.132,0.195,60422378.359,1723.166,60793075.749,178.682,1110.911,1.038,0.095,62.514481525,1817.127,179.64,1.299,0.13,1.462,0.145,0.679,0.067,1029.474,118.806,230743.21,42665010.85,42051712.44,70129508.872,27176892.667,0,6132153,32320917,0,56862.145,0,3130527.44,3829385.65,102219682.662,9961538.65,468115,0.136,0.016,0.131,0.015,0.005,0.001,24.225884109,0,1106770070.037,676312664.037,527976868.935,337063629.94,5.466291888,1625491.358,23.178,14.943,163.025,1375.789,22.66,0.786,0.642,0.51,28.811343487,108779907.038,52361316.29,49433.796,1.311,1.41,22134.005,0.146,0.131,0.909,0.845,3128.623,163.326,0,0.050687757,16.858,0.88,16.86,0.88,0,9.675,0.505,22610.566,0.645,0.067,0.416,2.790598465,3.413571011,91.120137102,8.879862898,0.417284635
6,105821.4,1,CA,3.472883508,555.4,2147.447,205.789,6680665.25,51.694,33.87,0.407236637,0.72,0.069,34.602567473,0.58,0.053,54587168.903,844.774,54774530.623,111.373,553.5,3.701,0.355,65.397432527,868.243,118.734,0.193,0.026,0.193,0.026,0.033,0.004,859.378,117.86,6862929.352,804759.578,68379770.13,129234959.421,119431363.322,12101728,16420784.08,16985978,1435175.954,64721.019,636010.196,9883633.81,41835937.402,139358008.069,58256721.482,12987646.24,0.181,0.025,0.181,0.025,0.006,0.001,60.436468270,6.123899786,1648520376.822,980257757.047,775829705.415,431184238.747,8.309493992,817718.539,6.327,4.146,73.625,914.451,8.687,0.241,0.242,0.056,8.595501984,197243679.949,91692028.451,23056.244,0.331,0.357,9952.091,0.047,0.046,0.234,0.217,1512.334,150.375,0.726249484,0.032751111,20.186,2.007,19.959,1.976,0.321843517,2.998,0.298,5334.228,0.083,0.011,0.054,5.001466152,21.170455005,70.520051003,29.479948997,6.572205559
8,19132.7,1,CO,0.233450175,1593.249,2247.754,208.204,8508111.864,190.418,158.004,60.439057486,2.401,0.222,17.022584792,2.389,0.221,42616654.253,1907.589,42896147.646,188.144,1582.868,1.649,0.153,82.977415208,1914.878,188.747,1.86,0.183,1.883,0.186,1.224,0.121,995.688,119.304,125706.803,32544848.957,9166215.92,44681164.087,11953808.268,0,1544536.92,0,0,9926.059,46874,253065,7747385.803,44555457.284,9291922.723,7368614,0.45,0.054,0.441,0.053,0.048,0.006,22.199424125,0,542783284.922,453022259.921,232517800.946,199898860.943,2.868360392,1226827.217,27.457,22.783,304.975,1720.382,43.58,1.518,1.51,1.099,0,53847380.231,23019322.176,42388.645,1.936,1.897,18485.597,0.187,0.185,1.574,1.606,10364.811,163.326,0,0.018433690,70.572,1.112,70.528,1.113,0.087049732,30.982,0.488,27258.726,1.22,0.12,1.012,0.469967155,14.387674576,82.743965033,17.256034967,13.684257245
9,10401.8,1,CT,2.213336396,538.26,2186.618,209.749,2245481.287,129.259,66.727,2.450464530,1.422,0.136,48.397703994,1.878,0.134,8987821.628,1034.754,9056717.19,119.888,534.166,2.213,0.212,51.602296006,980.567,125.823,0.353,0.047,0.439,0.056,0.195,0.025,894.941,118.261,745118.8,824947.89,16293067.42,17371892.021,14683904.892,0,440742.19,15840619,604506.407,513414.032,0,11706.23,756825.03,32467392.221,1197567.22,0,0.343,0.045,0.334,0.045,0.031,0.004,43.617770928,0,319853564.007,149936482.007,136348113.007,62950591.006,1.309201607,292374.801,16.83,8.688,224.921,1136.155,30.155,0.839,0.699,0.459,47.053729644,33651815.798,14516892.126,6908.579,0.72,0.795,2696.825,0.092,0.086,0.411,0.372,1764.747,157.484,1.795654642,1.525069510,2.204,0.197,4.734,0.184,0,2.409,0.215,1831.784,0.211,0.024,0.109,0.034772744,2.248109139,96.442689253,3.557310747,0
11,24.9,1,DC,0,1185.76,0,0,1510.621,22.342,22.342,0,0,0,0,0,0,40046.514,1184.595,40085.79,116.889,1184.598,0,0,100,1184.598,116.889,0,0,0,0,0.006,0.001,1184.598,116.889,0,0,0,67612.16,67612.16,0,0,0,0,0,0,0,0,67612.16,0,0,0,0,0,0,0.006,0.001,100,0,685205.533,685205.533,330327.398,330327.398,0,151.062,2.234,2.234,44.685,1184.598,4.468,0,0,0.006,0,67612,32595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,0.006,0.001,0.006,0,0,100,0,0
10,3999.5,1,DE,1.006802957,1045.923,2009.788,205.196,380229.005,50.404,50.042,11.389261091,0.756,0.077,0.718336701,0.816,0.079,3961771.727,1050.357,3973589.414,130.502,1042.812,1.724,0.176,99.281663299,1176.107,132.672,0.433,0.048,0.496,0.056,0.244,0.028,985.773,120.112,76499.38,865384.24,54581,7543666.446,6192122.317,0,0,0,226378.89,183281.619,0,49530,131080.38,7467167.066,131080.38,5051,0.389,0.047,0.338,0.041,0.013,0.002,81.494086117,0,61234794.28,60715726.28,28780284.626,28540167.627,0,50485.695,6.692,6.644,125.059,1110.213,16.955,0.518,0.457,0.293,0,7598247.016,3556770.998,2292.186,0.526,0.608,928.366,0.076,0.065,0.603,0.522,1409.134,120.867,2.979356643,2.412156491,0.837,0.072,0.704,0.06,0,0.054,0.005,829.318,0.22,0.027,0.218,0.651860845,1.725139658,98.274860342,1.725139658,0.066475856
12,95150.6,1,FL,2.100950278,1099.425,2165.21,203.007,20718375.797,102.741,90.094,22.635605624,1.544,0.145,12.309522226,1.516,0.142,125753313.343,1247.204,126414005.962,145.756,1093.679,3.201,0.3,87.690477774,1275.888,150.599,0.648,0.076,0.663,0.078,1.052,0.124,908.56,120.379,4831424.177,52053688.949,28307439.69,201656316.584,139995799.082,0,211388,27868270,1289281.697,1877919.178,1608203.501,227781.69,5059205.867,224693162.407,5270593.867,0,0.291,0.039,0.295,0.039,0.173,0.023,60.877331868,0,2031354634.077,1725530106.077,943345439.853,809266815.855,0.091922311,2859030.145,14.178,12.433,172.02,1232.045,23.68,0.659,0.644,0.914,12.118548789,229963756.27,106955020.644,74600.007,0.719,0.74,33715.491,0.086,0.083,0.649,0.63,1603.454,121.338,0.560645607,0.816615283,2.93,0.222,2.769,0.211,0.699329115,0.045,0.003,102244.467,1.014,0.119,0.889,0.099051126,2.200001404,97.708076285,2.291923715,0
