SEQGEN14,PSTATABB,PNAME,ORISPL,GENID,NUMBLR,GENSTAT,PRMVR,FUELG1,NAMEPCAP,CFACT, GENNTAN , GENNTOZ ,GENERSRC,GENYRONL,GENYRRET,,
1,AK,Agrium Kenai Nitrogen Operations,54452,644A,0,RE,IC,NG,1.3,,,,,1968,2001,,
2,AK,Agrium Kenai Nitrogen Operations,54452,644B,0,RE,IC,NG,1.3,,,,,1968,2001,,
3,AK,Agrium Kenai Nitrogen Operations,54452,644C,0,RE,IC,NG,1.3,,,,,1968,2001,,
4,AK,Agrium Kenai Nitrogen Operations,54452,644D,0,RE,IC,NG,1.3,,,,,1968,2001,,
5,AK,Agrium Kenai Nitrogen Operations,54452,644E,0,RE,IC,NG,1.3,,,,,1968,2001,,
6,AK,Agrium Kenai Nitrogen Operations,54452,644F,0,RE,IC,NG,1.3,,,,,1968,2001,,
7,AK,Agrium Kenai Nitrogen Operations,54452,644G,0,RE,IC,NG,1.3,,,,,1968,2001,,
8,AK,Agrium Kenai Nitrogen Operations,54452,744A,0,OS,GT,NG,2.5,,,,,1977,,,
9,AK,Agrium Kenai Nitrogen Operations,54452,744B,0,OS,GT,NG,2.5,,,,,1977,,,
10,AK,Agrium Kenai Nitrogen Operations,54452,744C,0,OS,GT,NG,2.5,,,,,1977,,,
11,AK,Agrium Kenai Nitrogen Operations,54452,744D,0,OS,GT,NG,2.5,,,,,1977,,,
12,AK,Agrium Kenai Nitrogen Operations,54452,744E,0,OS,GT,NG,2.5,,,,,1977,,,
13,AK,Alakanuk,57053,G309,0,IP,IC,JF,0.5,,,,,,,,
14,AK,Alakanuk,57053,UNIT1,0,OP,IC,JF,0.4,0.122, 427 , 146 ,Distributed from 923 Generation And Fuel,2008,,,
15,AK,Alakanuk,57053,UNIT2,0,OP,IC,JF,0.5,0.122, 534 , 183 ,Distributed from 923 Generation And Fuel,1999,,,
16,AK,Alakanuk,57053,UNIT3,0,OP,IC,JF,0.4,0.122, 427 , 146 ,Distributed from 923 Generation And Fuel,1993,,,
17,AK,Alakanuk,57053,UNIT4,0,OP,IC,JF,0.8,0.122, 855 , 293 ,Distributed from 923 Generation And Fuel,2013,,,
18,AK,Allison Creek Hydro,58982,GEN1,0,T,HY,WAT,6.5,,,,,2016,,,
19,AK,Anchorage 1,75,1,0,OP,GT,NG,12.5,0.038," 4,168 "," 1,589 ",Distributed from 923 Generation And Fuel,1962,,,
20,AK,Anchorage 1,75,2,0,OP,GT,NG,12.5,0.038," 4,168 "," 1,589 ",Distributed from 923 Generation And Fuel,1962,,,
21,AK,Anchorage 1,75,3,0,RE,GT,NG,16.3,,,,,1968,2004,,
22,AK,Anchorage 1,75,3R,0,OP,GT,NG,48.9,0.038," 16,304 "," 6,216 ",Distributed from 923 Generation And Fuel,2007,,,
23,AK,Anchorage 1,75,4,0,OP,GT,NG,27.0,0.038," 9,002 "," 3,432 ",Distributed from 923 Generation And Fuel,1972,,,
24,AK,Anchorage 1,75,D1,0,RE,IC,DFO,1.1,,,,,1956,2010,,
25,AK,Anchorage 1,75,D2,0,RE,IC,DFO,1.1,,,,,1947,2010,,
26,AK,Anchorage 1,75,P1 BS,0,OP,IC,DFO,2.0,,,,,2012,,,
27,AK,Angoon,7462,1,0,RE,IC,DFO,0.4,,,,,1975,2008,,
28,AK,Angoon,7462,1A,0,OP,IC,DFO,0.5,0.129, 564 , 193 ,Distributed from 923 Generation And Fuel,2009,,,
29,AK,Angoon,7462,2A,0,OP,IC,DFO,0.5,0.129, 564 , 193 ,Distributed from 923 Generation And Fuel,1998,,,
30,AK,Angoon,7462,3,0,OP,IC,DFO,0.5,0.129, 564 , 193 ,Distributed from 923 Generation And Fuel,1990,,,
31,AK,Aniak,7182,1,0,OP,IC,DFO,0.5,0.273," 1,195 ", 410 ,Distributed from 923 Generation And Fuel,1988,,,
32,AK,Aniak,7182,3,0,RE,IC,DFO,0.3,,,,,1980,2005,,
33,AK,Aniak,7182,4,0,RE,IC,DFO,0.3,,,,,1980,2005,,
34,AK,Aniak,7182,5,0,RE,IC,DFO,0.3,,,,,1991,1994,,
35,AK,Aniak,7182,9,0,OP,IC,DFO,0.6,0.273," 1,435 ", 491 ,Distributed from 923 Generation And Fuel,1996,,,
36,AK,Annex Creek,62,5,0,OP,HY,WAT,1.8,0.781," 12,321 "," 4,839 ",Distributed from 923 Generation And Fuel,1915,,,
37,AK,Annex Creek,62,6,0,OP,HY,WAT,2.2,0.781," 15,059 "," 5,915 ",Distributed from 923 Generation And Fuel,1915,,,
38,AK,Auke Bay,7250,13,0,SB,GT,DFO,2.8,,,,,1993,,,
39,AK,Auke Bay,7250,14,0,SB,GT,DFO,30.9,,,,,1994,,,
40,AK,Auke Bay,7250,4,0,SB,IC,DFO,2.5,,,,,1980,,,
41,AK,Aurora Energy LLC Chena,79,1,3,OP,ST,SUB,5.0,0.280," 12,274 ", 93 ,EIA-923 Generator File,1952,,,
42,AK,Aurora Energy LLC Chena,79,2,3,OP,ST,SUB,2.5,0.588," 12,888 "," 6,342 ",EIA-923 Generator File,1952,,,
43,AK,Aurora Energy LLC Chena,79,3,3,RE,ST,SUB,1.5,,,,,1952,2009,,
44,AK,Aurora Energy LLC Chena,79,5,2,OP,ST,SUB,20.0,0.947," 165,900 "," 60,969 ",EIA-923 Generator File,1975,,,
45,AK,Aurora Energy LLC Chena,79,7,3,IP,ST,SUB,2.3,,,,,,,,
46,AK,Barrow,7173,10,0,OP,IC,NG,1.5,,,,,1994,,,
47,AK,Barrow,7173,11,0,OP,GT,NG,4.8,0.328," 13,772 "," 5,251 ",Distributed from 923 Generation And Fuel,1996,,,
48,AK,Barrow,7173,12,0,OP,GT,NG,5.0,0.328," 14,346 "," 5,470 ",Distributed from 923 Generation And Fuel,2001,,,
49,AK,Barrow,7173,6,0,OP,GT,NG,2.5,0.328," 7,173 "," 2,735 ",Distributed from 923 Generation And Fuel,1977,,,
50,AK,Barrow,7173,7,0,OP,GT,NG,2.5,0.328," 7,173 "," 2,735 ",Distributed from 923 Generation And Fuel,1980,,,
51,AK,Barrow,7173,8,0,OP,GT,NG,2.5,0.328," 7,173 "," 2,735 ",Distributed from 923 Generation And Fuel,1982,,,
52,AK,Barrow,7173,9,0,OP,IC,NG,1.5,,,,,1994,,,
53,AK,Battery Energy Storage System,57583,BESS,0,OP,BA,MWH,27.0,,,,,2003,,,
54,AK,Beaver Falls,6580,1,0,OP,HY,WAT,1.0,0.962," 8,427 "," 3,310 ",Distributed from 923 Generation And Fuel,1947,,,
55,AK,Beaver Falls,6580,3,0,OP,HY,WAT,2.2,0.962," 18,540 "," 7,282 ",Distributed from 923 Generation And Fuel,1954,,,
56,AK,Beaver Falls,6580,4,0,OP,HY,WAT,2.2,0.962," 18,540 "," 7,282 ",Distributed from 923 Generation And Fuel,1954,,,
57,AK,Beluga,96,1,0,OP,GT,NG,16.0,0.140," 19,627 "," 9,487 ",Distributed from 923 Generation And Fuel,1968,,,
58,AK,Beluga,96,2,0,OP,GT,NG,16.0,0.140," 19,627 "," 9,487 ",Distributed from 923 Generation And Fuel,1968,,,
59,AK,Beluga,96,3,0,OP,GT,NG,59.1,0.140," 72,496 "," 35,042 ",Distributed from 923 Generation And Fuel,1972,,,
60,AK,Beluga,96,5,0,OP,GT,NG,68.3,0.140," 83,781 "," 40,497 ",Distributed from 923 Generation And Fuel,1975,,,
61,AK,Beluga,96,6,0,OP,CT,NG,76.5,0.594," 397,884 "," 144,115 ",Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,1976,,,
62,AK,Beluga,96,7,0,OP,CT,NG,76.5,0.594," 397,884 "," 144,115 ",Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,1978,,,
63,AK,Beluga,96,8,1,OP,CA,NG,62.0,0.415," 225,183 "," 65,306 ",EIA-923 Generator File,1982,2015,,
64,AK,Bernice Lake,6292,2,0,OP,GT,NG,20.7,0.026," 4,709 "," 1,795 ",Distributed from 923 Generation And Fuel,1971,,,
