State,Year,Fuel,Value
Alabama,1990,Commercial,2.4
Alabama,1991,Commercial,2
Alabama,1992,Commercial,2.1
Alabama,1993,Commercial,2
Alabama,1994,Commercial,2.1
Alabama,1995,Commercial,2
Alabama,1996,Commercial,2.2
Alabama,1997,Commercial,2.4
Alabama,1998,Commercial,1.9
Alabama,1999,Commercial,2.2
Alabama,2000,Commercial,2.2
Alabama,2001,Commercial,2.2
Alabama,2002,Commercial,2
Alabama,2003,Commercial,2.1
Alabama,2004,Commercial,2.2
Alabama,2005,Commercial,1.8
Alabama,2006,Commercial,2.2
Alabama,2007,Commercial,2
Alabama,2008,Commercial,2
Alabama,2009,Commercial,1.9
Alabama,2010,Commercial,2.1
Alabama,2011,Commercial,2
Alabama,2012,Commercial,1.8
Alabama,2013,Commercial,1.8
Alabama,2014,Commercial,1.9
Alabama,2015,Commercial,2.1
Alaska,1990,Commercial,2.2
Alaska,1991,Commercial,2.2
Alaska,1992,Commercial,2.5
Alaska,1993,Commercial,2.5
Alaska,1994,Commercial,2.6
Alaska,1995,Commercial,2.5
Alaska,1996,Commercial,2.7
Alaska,1997,Commercial,2.5
Alaska,1998,Commercial,2.6
Alaska,1999,Commercial,2.8
Alaska,2000,Commercial,2.7
Alaska,2001,Commercial,2.5
Alaska,2002,Commercial,2
Alaska,2003,Commercial,1.9
Alaska,2004,Commercial,2.2
Alaska,2005,Commercial,2.1
Alaska,2006,Commercial,2.4
Alaska,2007,Commercial,2.2
Alaska,2008,Commercial,2.3
Alaska,2009,Commercial,2.2
Alaska,2010,Commercial,2.6
Alaska,2011,Commercial,2.8
Alaska,2012,Commercial,2.6
Alaska,2013,Commercial,2.4
Alaska,2014,Commercial,2.3
Alaska,2015,Commercial,2.6
Arizona,1990,Commercial,1.9
Arizona,1991,Commercial,1.8
Arizona,1992,Commercial,1.8
Arizona,1993,Commercial,1.7
Arizona,1994,Commercial,1.8
Arizona,1995,Commercial,1.8
Arizona,1996,Commercial,1.9
Arizona,1997,Commercial,2
Arizona,1998,Commercial,2.3
Arizona,1999,Commercial,2.2
Arizona,2000,Commercial,2.2
Arizona,2001,Commercial,2.1
Arizona,2002,Commercial,2.2
Arizona,2003,Commercial,2
Arizona,2004,Commercial,2
Arizona,2005,Commercial,2
Arizona,2006,Commercial,2
Arizona,2007,Commercial,2.1
Arizona,2008,Commercial,2.4
Arizona,2009,Commercial,2.2
Arizona,2010,Commercial,2.4
Arizona,2011,Commercial,2.4
Arizona,2012,Commercial,2.3
Arizona,2013,Commercial,2.4
Arizona,2014,Commercial,2.2
Arizona,2015,Commercial,2.9
Arkansas,1990,Commercial,1.6
Arkansas,1991,Commercial,1.6
Arkansas,1992,Commercial,1.6
Arkansas,1993,Commercial,1.8
Arkansas,1994,Commercial,1.7
Arkansas,1995,Commercial,1.8
Arkansas,1996,Commercial,1.9
Arkansas,1997,Commercial,1.8
Arkansas,1998,Commercial,1.8
Arkansas,1999,Commercial,1.8
Arkansas,2000,Commercial,2.1
Arkansas,2001,Commercial,2.1
Arkansas,2002,Commercial,2.1
Arkansas,2003,Commercial,2.2
Arkansas,2004,Commercial,2
Arkansas,2005,Commercial,2.1
Arkansas,2006,Commercial,1.9
Arkansas,2007,Commercial,1.9
