Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belgium,17.0,16.0,14.0,14.0,14.0,14.0,13.0,12.0,12.0,11.0,12.0,11.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0
Czech Rep.,85.0,79.0,74.0,72.0,67.0,66.0,66.0,65.0,59.0,52.0,62.0,60.0,58.0,59.0,58.0,57.0,57.0,58.0,55.0,52.0,52.0,52.0,50.0,47.0,46.0,46.0,46.0
France,31.0,34.0,30.0,23.0,23.0,25.0,25.0,23.0,27.0,24.0,24.0,20.0,21.0,21.0,20.0,22.0,21.0,22.0,20.0,17.0,18.0,15.0,17.0,18.0,14.0,13.0,13.0
Germany,449.0,368.0,328.0,306.0,289.0,274.0,273.0,260.0,248.0,236.0,244.0,249.0,253.0,255.0,253.0,244.0,245.0,254.0,240.0,226.0,232.0,236.0,247.0,247.0,239.0,236.0,226.0
Italy,22.0,21.0,18.0,16.0,17.0,18.0,17.0,17.0,17.0,17.0,19.0,20.0,21.0,22.0,25.0,25.0,25.0,25.0,25.0,20.0,22.0,24.0,25.0,22.0,21.0,20.0,17.0
Netherlands,14.0,12.0,12.0,12.0,13.0,14.0,14.0,14.0,14.0,12.0,13.0,13.0,13.0,14.0,14.0,13.0,12.0,13.0,13.0,12.0,12.0,12.0,13.0,13.0,15.0,18.0,16.0
Poland,184.0,183.0,174.0,176.0,171.0,168.0,171.0,165.0,152.0,146.0,141.0,141.0,137.0,141.0,140.0,137.0,140.0,137.0,135.0,128.0,134.0,137.0,135.0,137.0,130.0,127.0,124.0
Portugal,4.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,6.0,5.0
Romania,47.0,40.0,44.0,45.0,44.0,45.0,45.0,38.0,31.0,28.0,32.0,34.0,35.0,38.0,36.0,36.0,41.0,40.0,40.0,35.0,33.0,39.0,36.0,27.0,27.0,29.0,27.0
Spain,48.0,48.0,47.0,45.0,43.0,43.0,37.0,41.0,40.0,43.0,46.0,42.0,46.0,42.0,45.0,44.0,39.0,41.0,26.0,19.0,15.0,25.0,28.0,21.0,23.0,29.0,24.0
