Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2015 - 2016 (%/year)
Belgium,10,10,11,11,11,13,14,13,15,16,16,15,16,17,17,17,18,18,18,18,20,18,18,18,16,17,18,2.1
Czech Rep.,7,6,7,7,7,8,9,9,9,10,9,10,10,10,10,9,9,9,9,8,9,8,8,8,8,8,8,7.9
France,28,32,32,32,32,33,37,36,38,39,41,46,45,47,48,47,44,44,45,44,50,44,44,46,37,40,44,9.3
Germany,70,73,72,75,78,83,92,88,88,89,88,92,91,89,90,91,93,89,92,86,94,86,86,88,79,83,91,9.4
Italy,47,50,50,51,49,54,56,58,62,68,71,71,70,78,81,86,84,85,85,78,83,78,75,70,62,68,71,4.9
Netherlands,43,48,47,48,47,49,54,51,50,49,49,50,50,50,51,50,48,46,48,49,55,48,46,46,40,40,42,4.5
Poland,12,11,10,11,11,12,13,13,13,12,13,13,13,15,15,16,16,16,16,16,17,17,18,18,18,18,19,5.0
Portugal,0,0,0,0,0,0,0,0,1,2,2,3,3,3,4,4,4,4,5,5,5,5,4,4,4,5,5,9.6
Romania,36,29,26,25,24,24,24,21,19,17,17,17,17,18,17,17,18,16,16,13,14,14,14,13,12,11,11,-0.5
Spain,6,6,7,7,7,9,10,13,13,15,18,19,22,25,28,34,36,37,40,36,36,33,32,30,27,28,29,2.3
Sweden,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,10.8
United Kingdom,57,63,62,69,71,75,88,90,93,99,103,101,100,101,103,100,95,96,99,91,99,83,79,78,71,72,82,12.6
Norway,2,2,4,4,4,4,3,4,5,5,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,0.7
Turkey,3,4,5,5,5,7,8,10,10,13,15,16,18,21,22,27,31,37,37,35,38,45,45,46,49,48,47,-2.9
Kazakhstan,13,13,18,13,10,12,10,9,9,9,8,6,8,10,12,15,18,20,25,24,28,27,25,27,28,30,31,4.6
Russia,472,486,462,448,414,393,389,374,378,386,391,396,396,417,422,425,436,445,446,426,466,476,471,483,454,431,423,-1.8
Ukraine,113,115,106,99,88,82,89,79,71,77,74,74,73,78,79,78,69,69,65,50,57,58,53,49,41,33,31,-4.1
Uzbekistan,40,41,41,44,45,42,44,44,51,52,51,52,55,52,51,49,50,51,53,46,46,51,53,46,47,49,48,-1.7
Canada,67,68,71,74,77,81,85,86,83,87,92,87,91,95,93,99,98,99,100,97,97,106,105,112,117,114,111,-2.5
United States,535,536,551,575,586,610,622,643,630,635,661,630,651,631,634,623,614,654,659,647,682,691,721,737,753,775,782,0.9
Argentina,22,24,25,24,25,28,31,31,33,36,37,35,34,38,41,41,43,46,47,46,46,48,50,50,52,53,56,5.7
Brazil,4,4,4,5,5,5,6,6,6,7,9,12,15,15,19,20,20,21,25,20,27,27,32,38,41,41,34,-17.6
Chile,1,1,1,1,1,1,1,2,3,5,6,7,7,8,8,8,7,4,3,3,5,6,5,5,4,4,5,11.4
Colombia,4,4,4,5,5,5,5,7,8,7,7,8,8,7,8,8,8,8,9,10,11,10,10,11,11,11,10,-10.9
Mexico,26,27,28,28,29,28,30,34,39,37,40,40,45,50,54,53,58,63,68,66,70,71,74,70,72,70,70,0.4
Venezuela,17,18,18,19,19,21,24,24,25,22,23,22,22,23,23,24,23,22,28,26,29,24,25,24,23,27,29,7.8
China,16,16,16,17,18,18,19,20,20,21,25,28,29,35,41,47,57,70,81,89,106,131,147,167,185,188,203,8.0
India,13,14,16,16,17,21,21,25,26,28,28,28,30,31,34,38,40,42,43,58,64,64,57,52,50,50,55,9.3
Indonesia,17,19,20,21,26,29,30,33,36,35,31,33,35,36,34,33,36,30,33,39,44,41,41,45,46,47,47,-1.2
Japan,59,63,63,65,68,70,73,76,77,82,84,84,87,90,89,89,98,107,105,104,110,128,133,131,131,127,127,0.0
Malaysia,8,12,13,12,15,14,17,20,20,23,27,29,29,30,32,38,40,41,46,38,37,38,38,45,45,40,41,2.9
South Korea,3,4,5,6,8,9,12,15,14,17,19,21,23,24,29,30,33,35,36,34,43,47,51,53,47,43,45,4.2
