Year,Coal,Natural Gas,Petroleum,Water,Solar,Wind,Nuclear,Other
1950,0.0,0.0,0.6,16.0,0.0,0.0,0.0,0.0
1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,0.0,0.0,24.1,0.0,0.0,0.0,0.0,0.0
1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,0.0,0.0,357.7,0.0,0.0,0.0,0.0,0.0
1981,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
1985,0.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0
1986,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,0.0,0.0,0.0,0.8,0.0,0.0,0.0,2.0
1989,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,0.0,32.5,0.5,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.2,1.2,0.0,0.0,0.0,0.0
1992,0.0,200.0,2.6,0.0,0.0,0.0,0.0,0.0
1993,70.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0
1994,232.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
1995,175.0,50.0,1.0,0.0,0.0,0.0,0.0,92.5
1996,0.0,4.3,0.7,0.0,0.0,0.0,0.0,20.0
1997,0.0,39.9,92.6,0.0,0.0,0.0,0.0,0.0
1998,0.0,43.5,79.1,0.0,0.0,0.0,0.0,0.0
1999,139.0,74.9,3.4000000000000004,0.4,0.0,0.0,0.0,10.0
2000,45.8,70.1,98.7,0.0,0.0,0.0,0.0,14.9
2001,54.5,405.8,370.7,27.9,0.3,0.0,0.0,21.9
2002,1047.4,2428.399999999999,822.3000000000003,12.9,0.0,0.0,0.0,34.8
2003,942.5,2662.2999999999993,1198.6,57.4,0.0,0.3,0.0,70.5
2004,544.0,5582.000000000001,924.1,111.5,0.0,0.0,0.0,45.2
2005,293.5,1602.1,743.0,17.3,0.0,4.799999999999999,0.0,95.7
2006,692.0,1842.0,567.1999999999998,19.4,0.0,10.4,0.0,97.8
2007,1259.1,2344.1,420.99999999999983,13.699999999999998,0.0,12.4,0.0,114.69999999999996
2008,634.4,1204.7,344.1999999999999,20.8,0.0,1.4,0.0,44.8
2009,521.9000000000002,3797.7,625.8000000000002,9.9,0.0,2.1,0.0,117.0
2010,1534.1999999999996,1486.5,1942.2,124.0,0.0,2.2,0.0,175.1
2011,2229.3,2239.7999999999993,1244.5,149.2,2.0,37.0,0.0,87.89999999999998
2012,9721.9,4616.4000000000015,1445.6000000000006,306.8,0.0,1.2,0.0,51.9
2013,6318.2,6672.800000000005,1483.0,154.7,3.0,1.6,3144.4,119.89999999999998
2014,5083.4,4184.5,1261.0,133.4,7.899999999999999,75.2,563.4,221.8
2015,14860.7,4208.800000000001,939.1,110.5,0.0,25.3,0.0,52.49999999999999
2016,7262.399999999999,1279.0,196.4,114.5,0.0,0.0,0.0,26.1
2017,5397.0,1704.8,64.8,105.9,0.0,0.0,0.0,0.0
2018,36077.10000000001,1912.5,39.5,119.4,0.0,18.96,0.0,0.0
2019,3051.600000000001,713.0,182.4,236.8,0.0,0.0,1220.0,0.0
2020,4836.299999999998,5335.799999999998,0.30000000000000004,280.29999999999995,0.0,0.0,0.0,0.0
2021,1588.1999999999996,291.1,0.0,95.0,0.0,0.0,0.0,0.0
2022,2489.4,50.0,0.0,95.0,0.0,0.0,0.0,0.0
2023,3142.2000000000007,0.0,0.0,95.0,0.0,0.0,0.0,0.0
2024,1795.1999999999996,0.0,0.0,95.0,0.0,0.0,2358.8,0.0
2025,9782.4,0.0,0.0,97.8,0.0,0.0,2199.9,0.0
2026,3714.9,0.0,0.0,95.0,0.0,0.0,2449.9,0.0
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,1650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,0.0,0.0,0.0,0.0,0.0,0.0,2265.1,0.0
2030,0.0,0.0,0.0,0.0,0.0,0.0,4553.6,0.0
2031,0.0,0.0,0.0,0.0,0.0,0.0,1821.1,0.0
2032,0.0,0.0,0.0,0.0,0.0,0.0,3743.3,0.0
2033,0.0,0.0,0.0,0.0,0.0,0.0,8228.8,0.0
2034,0.0,0.0,0.0,0.0,0.0,0.0,12189.9,0.0
2035,0.0,0.0,0.0,0.0,0.0,0.0,2179.8,0.0
2036,0.0,0.0,0.0,0.0,0.0,0.0,6275.700000000002,0.0
2037,0.0,0.0,0.0,0.0,0.0,0.0,2946.7,0.0
2038,0.0,0.0,0.0,0.0,0.0,0.0,2786.9,0.0
2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,0.0,0.0,0.0,0.0,0.0,0.0,3370.2,0.0
2041,0.0,0.0,0.0,0.0,0.0,0.0,3329.0,0.0
2042,0.0,0.0,0.0,0.0,0.0,0.0,3497.6,0.0
2043,0.0,0.0,0.0,0.0,0.0,0.0,7080.5,0.0
2044,0.0,0.0,0.0,0.0,0.0,0.0,6337.2,0.0
2045,0.0,0.0,0.0,0.0,0.0,0.0,5140.9,0.0
2046,0.0,0.0,0.0,0.0,0.0,0.0,7353.9,0.0
2047,0.0,0.0,0.0,0.0,0.0,0.0,6065.799999999998,0.0
2048,0.0,0.0,0.0,0.0,0.0,0.0,1354.3,0.0
2049,0.0,0.0,0.0,0.0,0.0,0.0,2298.5,0.0
2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2055,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,0.0
