Year,Coal,Nat_gas,Petroleum,Water,Solar,Wind,Nuclear,Other
1891,0.0,0.0,0.0,3.8999999999999995,0.0,0.0,0.0,0.0
1892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1893,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
1894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1896,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0
1897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1898,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0
1899,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0
1900,0.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0
1901,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0
1902,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0
1903,0.0,0.0,0.0,45.60000000000001,0.0,0.0,0.0,0.0
1904,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0
1905,0.0,0.0,0.0,37.6,0.0,0.0,0.0,0.0
1906,0.0,0.0,0.0,33.099999999999994,0.0,0.0,0.0,0.0
1907,0.0,0.0,0.0,122.1,0.0,0.0,0.0,0.0
1908,0.0,0.0,0.0,54.1,0.0,0.0,0.0,0.0
1909,0.0,0.0,0.0,74.4,0.0,0.0,0.0,0.0
1910,0.0,0.0,0.0,174.60000000000005,0.0,0.0,0.0,0.0
1911,0.0,0.0,0.0,143.60000000000002,0.0,0.0,0.0,0.0
1912,0.0,0.0,0.0,208.70000000000002,0.0,0.0,0.0,0.0
1913,0.0,0.0,0.0,347.2,0.0,0.0,0.0,0.0
1914,0.0,0.0,0.0,147.70000000000007,0.0,0.0,0.0,0.0
1915,0.0,0.6,0.0,253.70000000000005,0.0,0.0,0.0,0.0
1916,0.0,0.0,0.0,168.80000000000004,0.0,0.0,0.0,0.0
1917,0.0,0.0,0.0,266.9,0.0,0.0,0.0,0.0
1918,0.0,0.0,0.0,188.9000000000001,0.0,0.0,0.0,0.0
1919,0.0,0.0,0.0,279.29999999999995,0.0,0.0,0.0,0.0
1920,0.0,0.0,0.0,159.00000000000003,0.0,0.0,0.0,0.0
1921,10.0,0.0,0.0,294.1999999999998,0.0,0.0,0.0,0.0
1922,0.0,0.0,0.0,179.2,0.0,0.0,0.0,0.0
1923,0.0,0.0,15.0,409.3999999999999,0.0,0.0,0.0,0.0
1924,0.0,0.0,15.0,543.6000000000001,0.0,0.0,0.0,0.0
1925,20.0,15.8,0.0,732.3999999999999,0.0,0.0,0.0,2.0
1926,0.0,15.0,0.0,281.7000000000001,0.0,0.0,0.0,11.2
1927,0.0,0.0,0.8999999999999999,460.4000000000001,0.0,0.0,0.0,8.0
1928,0.0,6.0,1.4,1031.0000000000002,0.0,0.0,0.0,67.5
1929,25.0,43.4,0.3,264.20000000000005,0.0,0.0,0.0,6.0
1930,66.7,14.2,56.5,792.6000000000001,0.0,0.0,0.0,9.5
1931,0.0,0.0,25.8,626.8000000000002,0.0,0.0,0.0,11.2
1932,0.0,0.0,1.8,272.3,0.0,0.0,0.0,0.0
1933,3.0,6.0,30.0,37.8,0.0,0.0,0.0,0.0
1934,3.0,0.0,1.7000000000000002,37.6,0.0,0.0,0.0,3.0
1935,89.9,3.5,2.3,81.1,0.0,0.0,0.0,0.0
1936,9.0,7.8,4.8999999999999995,825.4000000000002,0.0,0.0,0.0,14.5
1937,20.8,0.0,4.5,355.2,0.0,0.0,0.0,8.7
1938,25.0,16.0,5.6,691.6,0.0,0.0,0.0,30.5
1939,65.6,32.199999999999996,15.100000000000003,504.5999999999999,0.0,0.0,0.0,20.0
1940,137.5,15.0,8.700000000000003,442.59999999999985,0.0,0.0,0.0,22.7
1941,134.8,112.0,129.9,752.6,0.0,0.0,0.0,23.5
1942,292.0,70.0,93.70000000000002,1109.4000000000003,0.0,0.0,0.0,52.5
1943,479.2,26.5,166.5,1102.4,0.0,0.0,0.0,87.5
1944,172.5,1.7000000000000002,35.8,1013.6,0.0,0.0,0.0,0.0
1945,77.5,234.6,82.5,365.6,0.0,0.0,0.0,11.0
1946,50.0,51.2,28.300000000000004,58.9,0.0,0.0,0.0,0.0
1947,312.4,107.0,253.09999999999997,169.0,0.0,0.0,0.0,60.5
1948,723.9,988.9000000000002,542.7999999999998,803.1000000000001,0.0,0.0,0.0,109.7
1949,1367.4,886.8000000000001,346.59999999999997,1245.8000000000002,0.0,0.0,0.0,118.3
1950,1575.8,1131.0,610.9,1201.7999999999997,0.0,0.0,0.0,134.3
1951,1870.8000000000002,1424.7,390.8,1372.0000000000002,0.0,0.0,0.0,168.2
1952,3132.0,1138.4,214.7,1692.8000000000006,0.0,0.0,0.0,133.6
1953,4800.9,1925.0999999999997,699.8,1966.3000000000002,0.0,0.0,0.0,70.6
1954,6552.599999999999,4104.000000000001,568.8,1291.4000000000003,0.0,0.0,0.0,131.0
1955,7292.8,2199.1,867.5999999999999,1743.5,0.0,0.0,0.0,193.3
1956,2416.9,3073.7999999999997,40.8,1333.9,0.0,0.0,0.0,154.9
1957,4339.0,1958.9999999999995,886.8000000000001,1594.2000000000003,0.0,0.0,0.0,150.79999999999998
1958,6600.500000000001,5148.800000000001,600.4,2749.4,0.0,0.0,0.0,155.1
1959,7812.400000000001,3589.1,1086.1999999999998,1740.8,0.0,0.0,0.0,151.29999999999998
1960,6029.899999999999,2844.8,339.4,1639.5000000000002,0.0,0.0,0.0,91.0
1961,4941.5,3752.7999999999997,833.8999999999999,3553.3000000000006,0.0,0.0,0.0,147.5
1962,4129.6,3133.500000000001,455.29999999999995,2609.5,0.0,0.0,0.0,118.19999999999999
1963,4936.299999999999,4161.2,739.7,3354.5000000000027,0.0,0.0,0.0,66.1
1964,5174.7,4212.2,999.4,2307.6999999999994,0.0,0.0,0.0,136.5
1965,5984.4,4877.700000000001,1158.9,2123.7999999999997,0.0,0.0,0.0,296.69999999999993
1966,4475.0,4302.900000000001,740.8000000000001,1480.2,0.0,0.0,0.0,171.4
1967,8305.699999999999,7758.600000000002,1482.3000000000004,3866.9000000000005,0.0,0.0,0.0,181.2
1968,10427.0,5780.099999999999,2286.8000000000006,2766.7000000000007,0.0,0.0,0.0,217.8
1969,13372.500000000002,6318.1,1829.3,2004.8000000000002,0.0,0.0,1191.8,358.5
1970,12296.199999999997,7525.000000000001,1699.300000000001,1603.8,0.0,0.0,2266.3,117.8
1971,14219.199999999997,9982.2,2407.0,1385.6999999999998,0.0,0.0,2462.9,208.0
1972,11763.8,8396.3,4569.5999999999985,583.6,0.0,0.0,6431.5,196.5
1973,16633.0,8336.999999999998,2484.399999999999,5702.599999999999,0.0,0.0,4295.2,115.0
1974,11896.699999999999,10857.100000000006,6216.200000000003,1425.0000000000002,0.0,0.0,9424.3,49.5
1975,11341.9,9524.600000000002,3890.6000000000004,2417.5,0.0,16.5,6670.1,110.0
1976,8893.400000000001,4293.900000000001,2677.7,1615.3,0.0,0.0,3897.4,245.1
1977,12617.600000000002,6296.7,2203.6,1311.3999999999999,0.0,0.0,6976.1,376.29999999999995
1978,12288.5,4390.3,1986.6000000000004,3803.2000000000007,0.0,0.0,2113.0,145.1
1979,10727.5,2926.9000000000005,1122.6,3491.4000000000005,0.0,0.0,864.7,376.0
1980,16037.4,409.9,1204.8,1498.8,0.0,0.0,1922.2,592.3
1981,10502.8,851.5999999999999,2134.1,405.6999999999999,0.0,22.4,4499.0,404.8
1982,12388.699999999999,1115.6000000000004,243.10000000000002,764.3999999999999,0.0,19.5,1220.5,496.79999999999995
1983,6710.700000000001,961.0999999999999,107.30000000000001,882.2000000000004,0.0,378.2,3505.0,639.0
1984,11109.6,1103.2999999999997,101.19999999999999,1869.6000000000004,14.8,149.20000000000002,8152.700000000001,712.8
1985,7353.200000000001,1750.6000000000004,106.1,4082.2000000000003,30.0,140.79999999999995,8794.5,1107.7
1986,6402.499999999999,1437.0999999999997,69.30000000000001,632.9000000000004,69.4,85.60000000000001,9893.6,597.2
1987,4200.1,2560.7999999999993,69.9,476.5999999999998,34.5,119.2,7968.4,1077.6000000000001
1988,1909.8000000000002,2781.7999999999997,144.89999999999998,539.9000000000004,70.4,27.0,6424.3,1158.3
